Product title,Product variant title,Week,Ending inventory units,Inventory units sold
"Finley Romper in Plum","Plum / 3-6 Months","2026-02-16","-1","1"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-02-16","5","8"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Large","2026-02-16","4","1"
"Finley Romper in Midnight Blue","Midnight Blue / 9-12 Months","2026-02-16","33","0"
"Lila Labor & Postpartum Gown in Black","Black / Slim Petite","2026-02-16","143","37"
"Baby Swaddle Set: Dusty Rose","Hat & Bow","2026-02-16","0","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Large","2026-02-16","47","1"
"Robes in Lilac","Mia Robe / Short","2026-02-16","7","2"
"Amelia Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","2026-02-16","32","1"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-02-16","4","0"
"Finley Romper in Deep Teal","Deep Teal / Newborn","2026-02-16","183","3"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","2026-02-16","0","3"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","Small","2026-02-16","28","0"
"Amelia Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Petite","2026-02-16","9","0"
"Amelia Labor & Postpartum Gown in Periwinkle","Periwinkle / Full Figure","2026-02-16","0","4"
"Amelia Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","2026-02-16","17","0"
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","2026-02-16","28","3"
"Amelia Labor & Postpartum Gown in Black","Black / Petite","2026-02-16","1","0"
"Finley Romper in Emerald","Emerald / 9-12 Months","2026-02-16","83","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Standard","2026-02-16","26","55"
"Finley Romper in Vintage Floral","Vintage Floral / 9-12 Months","2026-02-16","5","0"
"Finley Romper in Vintage Floral","Vintage Floral / 18-24 Months","2026-02-16","15","0"
"Lila Labor & Postpartum Gown in Plum","Plum / Full Figure","2026-02-16","3","1"
"Amelia Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-02-16","17","3"
"Robes in Sage","Laura Robe / Long","2026-02-16","30","4"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Small","2026-02-16","63","0"
"Amelia Labor & Postpartum Gown in Emerald","Emerald / Full Figure","2026-02-16","21","0"
"Robes in Deep Teal","Mia Robe / Short","2026-02-16","31","14"
"Finley Romper in Plum","Plum / 6-9 Months","2026-02-16","115","0"
"Robes in Black","Mia Robe / Short","2026-02-16","1","6"
"Lila Labor & Postpartum Gown in Periwinkle Blue","Periwinkle / Curve","2026-02-16","6","4"
"Finley Romper in Vintage Floral","Vintage Floral / 6-9 Months","2026-02-16","8","1"
"Lila Labor & Postpartum Gown in Plum","Plum / Slim Petite","2026-02-16","0","4"
"Lila Labor & Postpartum Gown in Sage","Sage / Petite","2026-02-16","2","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Petite","2026-02-16","6","6"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Black","2XL","2026-02-16","2","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Sage","Large","2026-02-16","18","6"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Large","2026-02-16","23","1"
"Finley Romper in Deep Teal","Deep Teal / 12-16 Months","2026-02-16","64","0"
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Curve","2026-02-16","-4","1"
"Baby Swaddle Set: Vintage Floral","Hat & Bow","2026-02-16","70","0"
"Lila Labor & Postpartum Gown in Emerald","Emerald / Petite","2026-02-16","1","0"
"The Cameron Unisex Nursing and Skin to Skin Shirt in Plum","Medium","2026-02-16","13","0"
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Standard","2026-02-16","22","5"
"Finley Romper in Plum","Plum / Newborn","2026-02-16","91","1"
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Standard","2026-02-16","4","14"
