"Product title","Product variant title","Product variant SKU","Week","Ending inventory units","Inventory units sold"
"Finley Romper in Dusty Rose","Dusty Rose / 9-12 Months","94224","2026-04-20",30,0
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Full Figure","940209","2026-04-20",46,10
"Finley Romper in Vintage Floral","Vintage Floral / 3-6 Months","10217","2026-04-20",-1,0
"Finley Romper in Deep Teal","Deep Teal / 3-6 Months","10210","2026-04-20",0,0
"Robes in Dusty Rose","Mia Robe / Short","10184","2026-04-20",23,3
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","10097","2026-04-20",-4,2
"Finley Romper in Black","Black / 18-24 Months","10202","2026-04-20",83,0
"Amelia Labor & Postpartum Gown Lilac","Curve","29707","2026-04-20",14,1
"Lila Labor & Postpartum Gown in Vintage Floral","Vintage Floral / Full Figure","10101","2026-04-20",0,0
"Lila Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10266","2026-04-20",6,5
"Finley Romper in Black","Black / 3-6 Months","10198","2026-04-20",61,1
"The Cameron Unisex Nursing and Skin to Skin Shirt in Emerald","Small","66943","2026-04-27",38,0
"Amelia Labor & Postpartum Gown in Deep Teal","Deep Teal / Petite","10075","2026-04-27",18,3
"Finley Romper in Emerald","Emerald / 18-24 Months",,"2026-04-27",3,0
"Robes in Midnight Blue","Mia Robe / Short",,"2026-04-27",79,2
"Robes in Black","Mia Robe / Short","10188","2026-04-27",49,1
"Lila Labor & Postpartum Gown in Emerald","Emerald / Standard","10097","2026-04-27",-2,4
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Standard","107778","2026-04-27",1,0
"Amelia Labor & Postpartum Gown in Plum","Plum / Standard","10231","2026-04-27",28,11
"Amelia Labor & Postpartum Gown Lilac","Curve","29707","2026-04-27",18,1
"Lila Labor & Postpartum Gown in Plum","Plum / Standard","10103","2026-04-27",56,67
"Robes in Periwinkle","Laura Robe / Long","10172","2026-04-27",35,1
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Slim Petite","20117","2026-04-27",-11,24
"Amelia Labor & Postpartum Gown Lilac","Slim Petite","11307","2026-04-27",20,0
"Lila Labor & Postpartum Gown in Sage","Sage / Petite",,"2026-04-27",0,3
"Finley Romper in Black","Black / Newborn","10197","2026-04-27",98,2
"Lila Labor & Postpartum Gown in Charcoal Grey","Charcoal Grey / Curve","107780","2026-04-27",3,0
"The Cameron Unisex Nursing and Skin to Skin Shirt in Midnight Blue","Medium","75005","2026-04-27",46,2
"Robes in Lilac","Laura Robe / Long","29709","2026-04-27",22,3
"Lila Labor & Postpartum Gown in Midnight Blue","Midnight Blue / Curve","942229","2026-04-27",8,7
"Lila Labor & Postpartum Gown in Emerald","Emerald / Slim Petite",,"2026-04-27",2,14
"The Cameron Unisex Nursing and Skin to Skin Shirt in Deep Teal","Medium","75001","2026-04-27",35,1
"Amelia Labor & Postpartum Gown in Dusty Rose","Dusty Rose / Curve","10276","2026-04-27",17,3
"Lila Labor & Postpartum Gown in Plum","Plum / Curve","10262","2026-04-27",2,3
